dataset_mode,model,split,params,accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,true_negatives,false_positives,false_negatives,true_positives
post_delivery,LightGBM,test,"{""colsample_bytree"": 0.8583625150859961, ""learning_rate"": 0.030516595026498134, ""min_child_samples"": 109, ""n_estimators"": 431, ""num_leaves"": 31, ""reg_lambda"": 0.6782624410275622, ""subsample"": 0.9249007225175158}",0.8413478591335192,0.4682713347921225,0.5905484649879269,0.5223493516399695,0.7947699459042865,0.5570370232222537,0.14200176774931467,14892,1944,1187,1712
post_delivery,XGBoost,test,"{""colsample_bytree"": 0.8929915047648647, ""learning_rate"": 0.019580801905990514, ""max_depth"": 7, ""min_child_weight"": 4, ""n_estimators"": 554, ""reg_lambda"": 4.765743953080102, ""subsample"": 0.8119909178573812}",0.8509754243729415,0.49380896226415094,0.5777854432562953,0.5325067556827213,0.7955820638784594,0.5561240807707295,0.13863803446292877,15119,1717,1224,1675
post_delivery,CatBoost,test,"{""depth"": 8, ""iterations"": 545, ""l2_leaf_reg"": 10.95828358151894, ""learning_rate"": 0.04240896145458551}",0.8463643273372181,0.4810054270208512,0.5808899620558814,0.52625,0.7932572295556484,0.5472038011204685,0.14136865525120956,15019,1817,1215,1684
pre_delivery,LightGBM,test,"{""colsample_bytree"": 0.776681821852731, ""learning_rate"": 0.015296998423688453, ""min_child_samples"": 68, ""n_estimators"": 442, ""num_leaves"": 95, ""reg_lambda"": 3.6752836239323665, ""subsample"": 0.8477539706059328}",0.7842918672409425,0.34061032863849766,0.500517419799931,0.4053638776365414,0.7234550980663572,0.4185686174829017,0.1713582877328842,14027,2809,1448,1451
pre_delivery,XGBoost,test,"{""colsample_bytree"": 0.8717162960618448, ""learning_rate"": 0.020708007502195754, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 531, ""reg_lambda"": 5.262249610020235, ""subsample"": 0.7587161426502669}",0.7612870534583228,0.3139630390143737,0.5274232493963436,0.39361565195005793,0.7207042846883324,0.41012296014379057,0.18735051155090332,13495,3341,1370,1529
pre_delivery,CatBoost,test,"{""depth"": 8, ""iterations"": 535, ""l2_leaf_reg"": 7.062858160314465, ""learning_rate"": 0.04100294325771115}",0.7763871294654168,0.3282667876588022,0.49913763366678165,0.3960585739701656,0.7209069684362859,0.4055281271098383,0.17781973191709333,13875,2961,1452,1447
post_delivery,LightGBM,validation,"{""colsample_bytree"": 0.8583625150859961, ""learning_rate"": 0.030516595026498134, ""min_child_samples"": 109, ""n_estimators"": 431, ""num_leaves"": 31, ""reg_lambda"": 0.6782624410275622, ""subsample"": 0.9249007225175158}",0.8441854573093489,0.4761129207383279,0.6050362193859952,0.5328877411514507,0.8046703375730859,0.572900483508816,0.14028006616571392,14906,1930,1145,1754
post_delivery,XGBoost,validation,"{""colsample_bytree"": 0.8929915047648647, ""learning_rate"": 0.019580801905990514, ""max_depth"": 7, ""min_child_weight"": 4, ""n_estimators"": 554, ""reg_lambda"": 4.765743953080102, ""subsample"": 0.8119909178573812}",0.8518875095008868,0.4964726631393298,0.5826146947223181,0.536105380098397,0.8045549148898313,0.570110278380823,0.13698601722717285,15123,1713,1210,1689
post_delivery,CatBoost,validation,"{""depth"": 8, ""iterations"": 545, ""l2_leaf_reg"": 10.95828358151894, ""learning_rate"": 0.04240896145458551}",0.8486952115530783,0.48758207250927776,0.5891686788547775,0.5335832552327398,0.8048138194317586,0.5632702380965362,0.13913863899540638,15041,1795,1191,1708
pre_delivery,LightGBM,validation,"{""colsample_bytree"": 0.776681821852731, ""learning_rate"": 0.015296998423688453, ""min_child_samples"": 68, ""n_estimators"": 442, ""num_leaves"": 95, ""reg_lambda"": 3.6752836239323665, ""subsample"": 0.8477539706059328}",0.788649607296681,0.3509142053445851,0.5163849603311487,0.41786461967899513,0.73594051938343,0.44206904736133773,0.16862976255185091,14067,2769,1402,1497
pre_delivery,XGBoost,validation,"{""colsample_bytree"": 0.8717162960618448, ""learning_rate"": 0.020708007502195754, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 531, ""reg_lambda"": 5.262249610020235, ""subsample"": 0.7587161426502669}",0.7651887509500886,0.32277834525025534,0.5450155225939979,0.405440082114447,0.7322602599056162,0.4356861721067778,0.18560408055782318,13521,3315,1319,1580
pre_delivery,CatBoost,validation,"{""depth"": 8, ""iterations"": 535, ""l2_leaf_reg"": 7.062858160314465, ""learning_rate"": 0.04100294325771115}",0.7814035976691158,0.3413321372505046,0.5250086236633322,0.4136993748301169,0.7325203937651958,0.43472492048881695,0.17610699253840217,13899,2937,1377,1522
