threshold,flagged_orders,flagged_order_rate,true_positives,false_positives,false_negatives,true_negatives,precision,recall,estimated_cost,estimated_savings_vs_no_model
0.1,19704,0.9984291867240942,2898,16806,1,30,0.14707673568818513,0.9996550534667127,284080.0,5820.0
0.15,19505,0.9883455789206993,2888,16617,11,219,0.14806459882081519,0.9962055881338393,282790.0,7110.0
0.2,17771,0.9004813782619712,2825,14946,74,1890,0.1589668561138934,0.9744739565367369,269860.0,20040.0
0.25,13937,0.7062072460096276,2621,11316,278,5520,0.18806055822630408,0.9041048637461193,245800.0,44100.0
0.3,10707,0.5425386369394477,2404,8303,495,8533,0.2245260110208275,0.8292514660227664,228690.0,61210.0
0.35,7909,0.4007600709399544,2159,5750,740,11086,0.2729801491971172,0.7447395653673681,217860.0,72040.0
0.4,5798,0.2937927539903724,1982,3816,917,13020,0.3418420144877544,0.6836840289755088,209140.0,80760.0
0.45,4456,0.2257917405624525,1829,2627,1070,14209,0.41045780969479356,0.6309072093825457,206430.0,83470.0
0.5,3711,0.1880415505447175,1737,1974,1162,14862,0.46806790622473726,0.5991721283201104,205420.0,84480.0
0.55,3143,0.1592601976184444,1635,1508,1264,15328,0.5202036271078587,0.5639875819248017,206880.0,83020.0
0.6,2710,0.13731948315176082,1553,1157,1346,15679,0.5730627306273063,0.5357019661952397,208290.0,81610.0
0.65,2343,0.11872308082087661,1452,891,1447,15945,0.6197183098591549,0.5008623663332183,211690.0,78210.0
0.7,2051,0.10392703318976437,1356,695,1543,16141,0.6611409068746953,0.4677474991376337,215490.0,74410.0
0.75,1872,0.0948568533063086,1303,569,1596,16267,0.6960470085470085,0.4494653328734046,217410.0,72490.0
0.8,1727,0.08750950088674943,1243,484,1656,16352,0.7197452229299363,0.4287685408761642,220160.0,69740.0
0.85,1563,0.07919939194324804,1167,396,1732,16440,0.746641074856046,0.40255260434632634,223840.0,66060.0
0.9,1366,0.06921712693184698,1060,306,1839,16530,0.7759882869692533,0.3656433252845809,229360.0,60540.0
