trial,mean_cv_pr_auc,std_cv_pr_auc,params,accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,true_negatives,false_positives,false_negatives,true_positives
0,0.5666248146923993,0.005855171913660047,"{""colsample_bytree"": 0.8193998331602709, ""learning_rate"": 0.04018889528610386, ""max_depth"": -1, ""min_child_samples"": 131, ""min_split_gain"": 0.19582835813268934, ""n_estimators"": 487, ""num_leaves"": 31, ""reg_alpha"": 3.757540479602473, ""reg_lambda"": 3.312381274820736, ""subsample"": 0.7530751549834868}",,,,,,,,,,,
1,0.5527350721344516,0.007278611281312839,"{""colsample_bytree"": 0.8607658084556098, ""learning_rate"": 0.07639359079909021, ""max_depth"": 6, ""min_child_samples"": 58, ""min_split_gain"": 0.05178660848232597, ""n_estimators"": 724, ""num_leaves"": 63, ""reg_alpha"": 2.0436655962428403, ""reg_lambda"": 3.446940802216978, ""subsample"": 0.9212431186924359}",,,,,,,,,,,
2,0.5626916369070282,0.007098781966241452,"{""colsample_bytree"": 0.7352044326234772, ""learning_rate"": 0.04693219446746618, ""max_depth"": 6, ""min_child_samples"": 100, ""min_split_gain"": 0.07993353669542819, ""n_estimators"": 808, ""num_leaves"": 31, ""reg_alpha"": 2.8837149120008942, ""reg_lambda"": 8.325889119881678, ""subsample"": 0.8199963080702908}",,,,,,,,,,,
3,0.5694440417588285,0.0052020765419497,"{""colsample_bytree"": 0.8808519932533032, ""learning_rate"": 0.022187817156744907, ""max_depth"": 6, ""min_child_samples"": 55, ""min_split_gain"": 0.0660199392245047, ""n_estimators"": 601, ""num_leaves"": 31, ""reg_alpha"": 0.9213904598320068, ""reg_lambda"": 5.599289129973917, ""subsample"": 0.8226466906636756}",,,,,,,,,,,
4,0.5669793779797538,0.007413979728757257,"{""colsample_bytree"": 0.8803599942778976, ""learning_rate"": 0.026441327853927825, ""max_depth"": 8, ""min_child_samples"": 62, ""min_split_gain"": 0.057992766125801225, ""n_estimators"": 447, ""num_leaves"": 63, ""reg_alpha"": 5.166961694164535, ""reg_lambda"": 3.9176902578759076, ""subsample"": 0.7789844453816612}",,,,,,,,,,,
5,0.5634326143864655,0.005026368451369421,"{""colsample_bytree"": 0.8234590483918187, ""learning_rate"": 0.01345610601190047, ""max_depth"": 4, ""min_child_samples"": 153, ""min_split_gain"": 0.1290769220425041, ""n_estimators"": 700, ""num_leaves"": 63, ""reg_alpha"": 5.094813517400251, ""reg_lambda"": 6.821715128893527, ""subsample"": 0.8085563594066706}",,,,,,,,,,,
6,0.562648049086733,0.007410121715732789,"{""colsample_bytree"": 0.9548977128130118, ""learning_rate"": 0.0463103002319976, ""max_depth"": 6, ""min_child_samples"": 169, ""min_split_gain"": 0.15439872804204774, ""n_estimators"": 694, ""num_leaves"": 31, ""reg_alpha"": 4.316383513068045, ""reg_lambda"": 9.291198284731522, ""subsample"": 0.8664082345771894}",,,,,,,,,,,
7,0.5663246612303132,0.0057721925903153,"{""colsample_bytree"": 0.9575416165826222, ""learning_rate"": 0.021757297659887435, ""max_depth"": -1, ""min_child_samples"": 87, ""min_split_gain"": 0.07647555832425501, ""n_estimators"": 693, ""num_leaves"": 63, ""reg_alpha"": 1.7133645941905702, ""reg_lambda"": 9.341233793698358, ""subsample"": 0.9896040116253502}",,,,,,,,,,,
8,0.5680681682333637,0.005555001021690801,"{""colsample_bytree"": 0.8111234373486019, ""learning_rate"": 0.025663804279141722, ""max_depth"": 6, ""min_child_samples"": 51, ""min_split_gain"": 0.06519282541091016, ""n_estimators"": 630, ""num_leaves"": 63, ""reg_alpha"": 3.874878467119042, ""reg_lambda"": 8.291823558007273, ""subsample"": 0.8970593337119038}",,,,,,,,,,,
9,0.5652007205257319,0.0064405083366800495,"{""colsample_bytree"": 0.9125363393160044, ""learning_rate"": 0.03659232138003373, ""max_depth"": 4, ""min_child_samples"": 70, ""min_split_gain"": 0.1874006861809941, ""n_estimators"": 790, ""num_leaves"": 15, ""reg_alpha"": 4.637380049933804, ""reg_lambda"": 7.583574926436941, ""subsample"": 0.8240657530740382}",,,,,,,,,,,
