feature,importance
numeric__delivery_delay_days,736
numeric__delivery_time_days,707
numeric__product_description_lenght,695
numeric__approval_time_hours,682
numeric__product_volume_cm3,624
numeric__total_freight,579
numeric__product_weight_g,576
numeric__estimated_delivery_days,531
numeric__product_name_lenght,483
numeric__freight_ratio,442
numeric__payment_value,389
numeric__avg_price,333
numeric__total_price,331
numeric__purchase_hour,331
numeric__purchase_month,329
numeric__purchase_dayofweek,205
numeric__payment_installments,200
numeric__product_photos_qty,183
numeric__order_item_count,113
categorical__order_status_delivered,104
categorical__customer_city_infrequent_sklearn,86
numeric__seller_count,76
categorical__product_category_bed_bath_table,69
categorical__product_category_computers_accessories,56
categorical__seller_state_SP,52
categorical__customer_state_RJ,50
categorical__customer_state_MG,49
categorical__customer_city_sao paulo,43
categorical__order_status_processing,39
categorical__product_category_sports_leisure,39
categorical__product_category_stationery,39
categorical__seller_state_DF,38
categorical__product_category_health_beauty,36
categorical__customer_state_SP,36
categorical__product_category_garden_tools,34
categorical__product_category_books_general_interest,33
categorical__product_category_telephony,31
categorical__product_category_audio,28
categorical__product_category_food_drink,26
categorical__customer_city_campos dos goytacazes,25
categorical__product_category_fashion_bags_accessories,25
categorical__customer_city_uberaba,25
categorical__product_category_baby,25
categorical__customer_city_sumare,25
categorical__seller_state_MG,24
categorical__seller_state_PR,23
categorical__customer_city_rio de janeiro,23
categorical__order_status_unavailable,23
categorical__customer_state_SC,23
categorical__seller_state_RS,22
categorical__customer_city_nova iguacu,20
categorical__customer_city_cascavel,20
categorical__primary_payment_type_boleto,20
categorical__primary_payment_type_voucher,20
categorical__product_category_pet_shop,19
categorical__product_category_housewares,19
categorical__customer_city_barueri,17
categorical__customer_city_araraquara,17
categorical__product_category_fashion_male_clothing,17
categorical__product_category_toys,17
categorical__customer_city_belo horizonte,16
categorical__product_category_construction_tools_safety,16
categorical__customer_city_caxias do sul,16
categorical__customer_state_RS,16
categorical__customer_state_PR,16
categorical__product_category_infrequent_sklearn,14
numeric__same_state_seller_customer,14
categorical__order_status_shipped,14
categorical__customer_city_limeira,13
categorical__product_category_luggage_accessories,13
categorical__customer_city_guarulhos,13
categorical__customer_city_piracicaba,12
categorical__customer_state_ES,11
categorical__customer_city_itapecerica da serra,11
categorical__product_category_musical_instruments,11
categorical__customer_state_MA,11
categorical__seller_state_MT,11
categorical__customer_city_mogi das cruzes,11
categorical__product_category_home_construction,11
numeric__product_count,11
categorical__customer_city_cariacica,11
categorical__primary_payment_type_credit_card,11
categorical__customer_city_belford roxo,10
categorical__seller_state_SC,10
categorical__product_category_watches_gifts,10
categorical__product_category_auto,10
categorical__customer_city_criciuma,10
categorical__product_category_fixed_telephony,10
categorical__customer_state_MT,10
categorical__product_category_office_furniture,10
categorical__customer_city_cachoeiro de itapemirim,9
categorical__customer_city_jaboatao dos guararapes,9
categorical__primary_payment_type_debit_card,9
categorical__customer_city_contagem,8
categorical__customer_city_ponta grossa,8
categorical__customer_city_salvador,8
numeric__payment_type_count,7
categorical__seller_state_RJ,7
categorical__customer_state_PA,7
categorical__product_category_home_appliances,7
categorical__customer_city_uberlandia,7
categorical__customer_city_santos,7
categorical__customer_state_RO,6
categorical__customer_state_BA,6
categorical__customer_state_MS,6
categorical__customer_state_PE,6
categorical__customer_state_GO,6
categorical__customer_city_santa maria,6
categorical__customer_city_cuiaba,6
numeric__is_late,6
categorical__product_category_furniture_decor,6
categorical__product_category_perfumery,6
categorical__product_category_drinks,6
categorical__customer_state_DF,5
categorical__customer_state_RN,5
categorical__customer_city_curitiba,5
categorical__customer_city_porto alegre,4
categorical__product_category_small_appliances,4
categorical__customer_city_blumenau,4
categorical__product_category_construction_tools_lights,4
categorical__customer_city_macae,4
categorical__customer_city_americana,4
categorical__customer_city_brasilia,4
categorical__customer_city_niteroi,3
categorical__product_category_home_confort,3
categorical__product_category_cool_stuff,3
categorical__customer_city_itaquaquecetuba,3
categorical__order_status_canceled,3
categorical__customer_city_sao jose dos campos,2
categorical__customer_city_rio claro,2
categorical__product_category_electronics,2
categorical__customer_city_governador valadares,2
categorical__customer_city_franco da rocha,2
categorical__product_category_consoles_games,2
categorical__customer_state_PI,2
categorical__customer_state_PB,2
categorical__customer_city_joinville,2
categorical__customer_city_bauru,2
categorical__customer_city_teresina,2
categorical__customer_city_santana de parnaiba,2
categorical__product_category_construction_tools_construction,2
categorical__customer_state_CE,1
categorical__customer_city_goiania,1
categorical__seller_state_MA,1
categorical__customer_city_sao bernardo do campo,1
categorical__product_category_industry_commerce_and_business,1
categorical__customer_city_recife,1
categorical__product_category_art,1
categorical__customer_city_petropolis,1
categorical__customer_city_mage,1
categorical__customer_city_palmas,1
categorical__customer_city_campinas,1
categorical__customer_city_botucatu,1
categorical__customer_city_patrocinio,0
categorical__customer_city_patos de minas,0
categorical__customer_city_paulo afonso,0
categorical__customer_city_pedreira,0
categorical__customer_city_paulinia,0
categorical__customer_city_pedro leopoldo,0
categorical__customer_city_paulista,0
categorical__customer_city_lavras,0
categorical__customer_city_pelotas,0
categorical__customer_city_lajeado,0
categorical__customer_city_ponte nova,0
categorical__customer_city_lages,0
categorical__customer_city_pocos de caldas,0
categorical__customer_city_poa,0
categorical__customer_city_pirassununga,0
categorical__customer_city_lagoa santa,0
categorical__customer_city_pirapora,0
categorical__customer_city_lauro de freitas,0
categorical__customer_city_linhares,0
categorical__customer_city_pinhais,0
categorical__customer_city_pindamonhangaba,0
categorical__customer_city_petrolina,0
categorical__customer_city_leme,0
categorical__customer_city_peruibe,0
categorical__customer_city_penapolis,0
categorical__customer_city_lencois paulista,0
categorical__customer_city_pato branco,0
categorical__customer_city_mogi mirim,0
categorical__customer_city_passos,0
categorical__customer_city_nilopolis,0
categorical__customer_city_natal,0
categorical__customer_city_macapa,0
categorical__customer_city_maceio,0
categorical__customer_city_muriae,0
categorical__customer_city_mossoro,0
categorical__customer_city_mairipora,0
categorical__customer_city_manaus,0
categorical__customer_city_manhuacu,0
categorical__customer_city_mariana,0
categorical__customer_city_marica,0
categorical__customer_city_marilia,0
categorical__customer_city_maringa,0
categorical__customer_city_montes claros,0
categorical__customer_city_montenegro,0
categorical__customer_city_monte mor,0
categorical__customer_city_mongagua,0
categorical__customer_city_matao,0
categorical__customer_city_maua,0
categorical__customer_city_mogi-guacu,0
categorical__customer_city_navegantes,0
categorical__customer_city_nova friburgo,0
categorical__customer_city_lins,0
categorical__customer_city_louveira,0
categorical__customer_city_passo fundo,0
categorical__customer_city_parnamirim,0
categorical__customer_city_paranavai,0
categorical__customer_city_paranagua,0
categorical__customer_city_paracatu,0
categorical__customer_city_paracambi,0
categorical__customer_city_para de minas,0
categorical__customer_city_londrina,0
categorical__customer_city_mesquita,0
categorical__customer_city_ouro preto,0
categorical__customer_city_ourinhos,0
categorical__customer_city_osorio,0
categorical__customer_city_osasco,0
categorical__customer_city_olinda,0
categorical__customer_city_lorena,0
categorical__customer_city_novo hamburgo,0
categorical__customer_city_nova serrana,0
categorical__customer_city_nova odessa,0
categorical__customer_city_nova lima,0
categorical__customer_city_palhoca,0
categorical__customer_city_sao goncalo,0
categorical__customer_city_porto seguro,0
