model,target,policy,selection_metric,validation_threshold,validation_flagged_orders,validation_flagged_order_rate,validation_precision,validation_recall,validation_true_positives,validation_false_positives,validation_false_negatives,validation_true_negatives,test_threshold,test_flagged_orders,test_flagged_order_rate,test_precision,test_recall,test_true_positives,test_false_positives,test_false_negatives,test_true_negatives,validation_pr_auc,validation_roc_auc,test_pr_auc,test_roc_auc
champion_balanced_lightgbm,bad_review,max_precision_with_validation_recall_at_least_0.25,precision subject to minimum validation recall,0.93942,882.0,0.04469217126931847,0.8231292517006803,0.2504311831666092,726.0,156.0,2173.0,16680.0,0.93942,905.0,0.04585761337724854,0.8187845303867404,0.2556053811659193,741.0,164.0,2158.0,16672.0,,,,
champion_balanced_lightgbm,bad_review,max_precision_with_validation_recall_at_least_0.35,precision subject to minimum validation recall,0.905,1313.0,0.0665315429440081,0.7844630616907845,0.3552949292859607,1030.0,283.0,1869.0,16553.0,0.905,1315.0,0.06663288573600203,0.7840304182509505,0.355639875819248,1031.0,284.0,1868.0,16552.0,,,,
champion_balanced_lightgbm,bad_review,max_precision_with_validation_recall_at_least_0.45,precision subject to minimum validation recall,0.73,1870.0,0.09475551051431468,0.6978609625668449,0.4501552259399793,1305.0,565.0,1594.0,16271.0,0.73,1903.0,0.09642766658221434,0.6862848134524435,0.4505001724732666,1306.0,597.0,1593.0,16239.0,,,,
champion_balanced_lightgbm,bad_review,max_precision_with_validation_recall_at_least_0.55,precision subject to minimum validation recall,0.575,2888.0,0.14633899163921965,0.5533240997229917,0.55122456019317,1598.0,1290.0,1301.0,15546.0,0.575,2912.0,0.14755510514314668,0.5439560439560439,0.5463953087271473,1584.0,1328.0,1315.0,15508.0,,,,
champion_balanced_lightgbm,bad_review,review_top_5pct_highest_risk_orders,fixed support capacity,0.9342960599914796,987.0,0.05001266784899924,0.817629179331307,0.27837185236288375,807.0,180.0,2092.0,16656.0,0.9342960599914796,1006.0,0.050975424372941475,0.8131212723658051,0.2821662642290445,818.0,188.0,2081.0,16648.0,,,,
champion_balanced_lightgbm,bad_review,review_top_10pct_highest_risk_orders,fixed support capacity,0.7052382968340989,1974.0,0.10002533569799849,0.6803444782168186,0.46326319420489825,1343.0,631.0,1556.0,16205.0,0.7052382968340989,1994.0,0.10103876361793768,0.6715145436308927,0.4618834080717489,1339.0,655.0,1560.0,16181.0,,,,
champion_balanced_lightgbm,bad_review,review_top_15pct_highest_risk_orders,fixed support capacity,0.5682091847528652,2961.0,0.15003800354699773,0.5460992907801419,0.5577785443256296,1617.0,1344.0,1282.0,15492.0,0.5682091847528652,2971.0,0.15054471750696732,0.5365196903399528,0.5498447740600207,1594.0,1377.0,1305.0,15459.0,,,,
champion_balanced_lightgbm,bad_review,ranking_quality_no_fixed_threshold,ranking metrics,,,,,,,,,,,,,,,,,,,0.5674976459165398,0.8028569915925325,0.5622698573533718,0.7942019806602107
precision_weighted_lightgbm,bad_review,max_precision_with_validation_recall_at_least_0.25,precision subject to minimum validation recall,0.84653,882.0,0.04469217126931847,0.8253968253968254,0.25112107623318386,728.0,154.0,2171.0,16682.0,0.84653,931.0,0.04717506967316949,0.8045112781954887,0.258364953432218,749.0,182.0,2150.0,16654.0,,,,
precision_weighted_lightgbm,bad_review,max_precision_with_validation_recall_at_least_0.35,precision subject to minimum validation recall,0.785,1304.0,0.06607550038003547,0.781441717791411,0.35150051741979993,1019.0,285.0,1880.0,16551.0,0.785,1280.0,0.06485938687610844,0.78671875,0.34736115902035186,1007.0,273.0,1892.0,16563.0,,,,
precision_weighted_lightgbm,bad_review,max_precision_with_validation_recall_at_least_0.45,precision subject to minimum validation recall,0.505,1873.0,0.09490752470230555,0.6994127068873465,0.451879958606416,1310.0,563.0,1589.0,16273.0,0.505,1890.0,0.09576893843425387,0.68994708994709,0.44981027940669194,1304.0,586.0,1595.0,16250.0,,,,
