feature,mean_abs_shap
numeric__delivery_delay_days,0.31798509150627075
numeric__seller_prior_bad_review_rate,0.21727387913300003
numeric__delivery_time_days,0.21724379419458614
numeric__order_item_count,0.1800760475125509
categorical__order_status_delivered,0.1710318713727714
categorical__customer_city_infrequent_sklearn,0.05452255481518961
numeric__category_prior_bad_review_rate,0.04855869604345672
numeric__product_volume_cm3,0.038137538556926594
numeric__seller_prior_order_count,0.03162296684875677
numeric__customer_state_prior_order_count,0.031311395606671795
numeric__seller_prior_late_rate,0.029864746661424864
numeric__payment_installments,0.028151132941756824
numeric__seller_state_prior_order_count,0.026207366120984933
numeric__approval_time_hours,0.025263351513940328
numeric__total_freight,0.02347169645404243
numeric__product_weight_g,0.02316443960800682
numeric__is_late,0.022948344315342598
numeric__estimated_delivery_days,0.02225726751362504
numeric__avg_price,0.02196312234767773
numeric__seller_prior_avg_delay_days,0.021898882119456717
numeric__customer_state_prior_avg_delay_days,0.020342218032355735
numeric__total_price,0.019588581465195497
numeric__category_prior_order_count,0.01917094978671846
numeric__seller_count,0.01888955496820513
numeric__category_prior_late_rate,0.018677417935479466
numeric__payment_value,0.018217546922954252
numeric__customer_state_prior_late_rate,0.018163791549338507
numeric__product_name_lenght,0.017834230921281186
numeric__product_description_lenght,0.01724340005031461
numeric__purchase_hour,0.016728361463977996
numeric__seller_state_prior_bad_review_rate,0.016494600803254995
numeric__category_prior_avg_delay_days,0.01637788286432709
numeric__freight_ratio,0.01514227677259877
numeric__purchase_dayofweek,0.01493600311527164
categorical__product_category_garden_tools,0.01492639242181036
numeric__seller_state_prior_late_rate,0.014700997099314567
numeric__seller_state_prior_avg_delay_days,0.013938291674656478
categorical__customer_city_sao paulo,0.01322570632736046
numeric__product_photos_qty,0.012817332868380788
numeric__purchase_month,0.012773680894788808
numeric__customer_state_prior_bad_review_rate,0.011668506035023389
categorical__product_category_bed_bath_table,0.011345455918956169
categorical__seller_state_SP,0.010592918407938207
categorical__product_category_stationery,0.010205523351560343
numeric__product_count,0.009364159204117723
categorical__customer_state_MG,0.007632992930096163
categorical__customer_state_RJ,0.006573880179269308
categorical__customer_city_rio de janeiro,0.006075687194883311
categorical__product_category_books_general_interest,0.0052021231115735155
categorical__order_status_processing,0.004783210640474276
categorical__customer_state_SC,0.004633421945688347
categorical__seller_state_DF,0.004136747238935546
categorical__order_status_shipped,0.004037824589095475
categorical__seller_state_MG,0.003972007205875147
categorical__seller_state_RS,0.0033476614998024217
categorical__order_status_unavailable,0.003340941055325283
categorical__order_status_canceled,0.0033354429316108805
categorical__seller_state_PR,0.0033281216618046053
categorical__product_category_watches_gifts,0.003317293671329832
categorical__product_category_fashion_bags_accessories,0.0029553772661194155
categorical__primary_payment_type_voucher,0.0027446314814076334
categorical__product_category_pet_shop,0.002493211679708271
categorical__product_category_baby,0.002455048352499228
categorical__product_category_musical_instruments,0.00221925112967055
categorical__product_category_telephony,0.0019410618262671192
categorical__customer_city_sumare,0.0019177939287808045
categorical__product_category_computers_accessories,0.0017536177204684187
categorical__primary_payment_type_boleto,0.0017069820381996833
categorical__customer_city_barueri,0.0016852392317615271
categorical__customer_state_MA,0.0016850922057880062
categorical__customer_city_nova iguacu,0.0014652727778706237
categorical__order_status_invoiced,0.0013868882606098527
categorical__customer_city_campos dos goytacazes,0.001362790745960482
categorical__customer_city_caxias do sul,0.0013251746584665128
categorical__customer_city_brasilia,0.0013152759868837547
categorical__customer_state_MT,0.0012663025278470289
categorical__product_category_toys,0.00104282794131127
categorical__customer_state_SP,0.000984186829294154
categorical__customer_city_santos,0.0009029062452210995
categorical__customer_state_RS,0.0008638513386723062
categorical__customer_city_piracicaba,0.0008274159978211534
categorical__customer_city_guarulhos,0.00077927360575009
categorical__customer_state_GO,0.0007316775203216414
categorical__customer_city_contagem,0.0007057043185212873
categorical__customer_city_santo andre,0.0007046652891789648
categorical__product_category_construction_tools_construction,0.0006725412505016924
categorical__customer_city_belo horizonte,0.0006570421396301869
categorical__primary_payment_type_credit_card,0.0006517279743339595
numeric__same_state_seller_customer,0.0006315116016295898
categorical__product_category_audio,0.0005925890161806154
categorical__product_category_health_beauty,0.0005845743529009852
categorical__customer_city_niteroi,0.0005713663699360562
categorical__customer_state_PE,0.0004641081349020463
categorical__customer_city_salvador,0.0004360954194448523
categorical__customer_city_sao bernardo do campo,0.000424199837073221
categorical__customer_state_RN,0.0004218630579706599
categorical__product_category_electronics,0.0004216850425225302
categorical__customer_city_cuiaba,0.00040728704806603335
categorical__product_category_small_appliances,0.00038037715180474054
categorical__product_category_construction_tools_lights,0.0003544154356633783
categorical__product_category_sports_leisure,0.00034291738706222974
categorical__product_category_drinks,0.00033143440147757257
numeric__payment_type_count,0.00033009913634231156
categorical__seller_state_RJ,0.00032874289433851165
categorical__product_category_luggage_accessories,0.00028546189680739385
categorical__customer_state_BA,0.0002800087406476034
categorical__customer_state_PR,0.00027300564900756453
categorical__customer_city_uberlandia,0.0002644224489772687
categorical__customer_state_PA,0.0002357070406577438
categorical__product_category_housewares,0.00019085340203021172
categorical__primary_payment_type_debit_card,0.0001898441707754685
categorical__customer_state_MS,0.00018647914445222294
categorical__customer_city_santa maria,0.00017485386947139415
categorical__seller_state_SC,0.00016878468939807845
categorical__customer_city_sorocaba,0.00016392994800415605
categorical__product_category_home_construction,0.00014621614380571634
categorical__product_category_office_furniture,0.00013425465118296174
categorical__product_category_furniture_decor,0.00013290397815856592
categorical__product_category_perfumery,9.936064813381197e-05
