model,candidate,params,split,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
LightGBM,10,"{""model__learning_rate"": 0.04, ""model__min_child_samples"": 60, ""model__n_estimators"": 350, ""model__num_leaves"": 31}",test,0.8409424879655435,0.46688741721854304,0.58364953432218,0.5187797025908324,0.7875377677115786,0.5508484661675036,14904,1932,1207,1692
LightGBM,10,"{""model__learning_rate"": 0.04, ""model__min_child_samples"": 60, ""model__n_estimators"": 350, ""model__num_leaves"": 31}",validation,0.8451482138332911,0.4782246879334258,0.5946878233873749,0.5301353013530136,0.8008429390165837,0.5625262434327031,14955,1881,1175,1724
LightGBM,6,"{""model__learning_rate"": 0.04, ""model__min_child_samples"": 60, ""model__n_estimators"": 220, ""model__num_leaves"": 63}",validation,0.8472764124651634,0.4836971930819393,0.5884787857882028,0.5309679427326486,0.7990478893804247,0.5620472469706844,15015,1821,1193,1706
LightGBM,2,"{""model__learning_rate"": 0.04, ""model__min_child_samples"": 60, ""model__n_estimators"": 220, ""model__num_leaves"": 31}",validation,0.8416518875095009,0.4692767808591626,0.5953777164539497,0.5248593583700776,0.8003777344839419,0.561766452614672,14884,1952,1173,1726
LightGBM,14,"{""model__learning_rate"": 0.04, ""model__min_child_samples"": 60, ""model__n_estimators"": 350, ""model__num_leaves"": 63}",validation,0.852799594628832,0.4991028708133971,0.5757157640565712,0.5346788403011373,0.7978464567500234,0.5609152170730594,15161,1675,1230,1669
LightGBM,4,"{""model__learning_rate"": 0.08, ""model__min_child_samples"": 60, ""model__n_estimators"": 220, ""model__num_leaves"": 31}",validation,0.844084114517355,0.4752777777777778,0.5902035184546396,0.5265425450069241,0.7987009759388934,0.560573158369214,14947,1889,1188,1711
LightGBM,5,"{""model__learning_rate"": 0.04, ""model__min_child_samples"": 20, ""model__n_estimators"": 220, ""model__num_leaves"": 63}",validation,0.8489485685330631,0.4881776239907728,0.5839944808554675,0.5318046175592901,0.7995922927028277,0.5605549842341866,15061,1775,1206,1693
XGBoost,7,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.04, ""model__max_depth"": 5, ""model__n_estimators"": 350, ""model__subsample"": 0.85}",validation,0.8430200152014188,0.4724453060094157,0.5884787857882028,0.5241167434715822,0.7986152515212601,0.5605249273945602,14931,1905,1193,1706
XGBoost,3,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.04, ""model__max_depth"": 5, ""model__n_estimators"": 220, ""model__subsample"": 0.85}",validation,0.8423106156574613,0.4706530724717553,0.5891686788547775,0.5232843137254902,0.7971069812047985,0.5604290281924552,14915,1921,1191,1708
XGBoost,4,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.08, ""model__max_depth"": 5, ""model__n_estimators"": 220, ""model__subsample"": 0.85}",validation,0.8405371167975678,0.4662676822633297,0.5912383580545015,0.5213688212927756,0.7985322725797174,0.5602965691917241,14874,1962,1185,1714
